OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
1348,1982,3,12,,190.0,12.32,48
1351,1982,3,12,88.35,190.0,12.02,79
1353,1991,3,12,63.4,205.0,12.87,48
1356,1995,3,12,46.32,200.0,12.5,48
1359,1991,3,12,,200.0,12.36,48
1363,1982,3,12,,200.0,12.41,48
1369,1984,3,12,,275.0,19.96,71
1371,1987,3,12,90.18,275.0,19.85,79
1374,1981,3,12,,275.0,19.77,71
1378,1991,3,12,,5.0,88.11,48
1380,1985,3,12,167.2,5.0,31.37,79
1383,1980,3,12,,95.0,6.84,48
1385,1983,3,12,124.3,95.0,6.72,71
1388,1982,3,12,98.78,95.0,11.59,48
1390,1982,3,12,172.45,95.0,6.51,71
1392,1983,3,12,109.43,95.0,6.41,48
1394,1982,3,12,,95.0,6.3,71
1396,1980,3,12,104.46,95.0,20.67,71
1398,1980,3,12,117.31,95.0,6.28,48
1400,2009,3,12,,95.0,6.12,79
1402,1988,3,12,107.59,185.0,6.72,71
1406,1980,3,12,,275.0,20.43,48
1409,1982,3,12,96.41,275.0,20.24,48
1414,2000,3,12,,275.0,20.58,48
1416,1982,3,12,111.08,275.0,20.35,71
1419,1985,3,12,,5.0,62.84,79
1428,1983,3,12,,5.0,12.48,71
1431,1983,3,12,,95.0,20.33,48
1433,1983,3,12,,95.0,20.28,71
1436,1988,3,12,,95.0,20.4,48
1438,1970,6,12,246.98,95.0,20.5,48
1441,2002,3,12,,95.0,20.17,48
1444,1987,6,12,124.1,275.0,18.97,48
1448,1991,3,12,176.54,275.0,19.65,71
1457,1978,3,12,8576.12,10.0,0.0,48
1462,2010,6,12,1331.48,280.0,0.0,79
1465,2012,6,12,744.82,15.0,0.0,48
1468,2012,6,12,731.73,25.0,0.0,48
1471,1982,3,12,,335.0,30.03,71
1474,2004,3,12,,355.0,6.28,48
1476,1983,3,12,,105.0,10.76,71
1479,1982,3,12,144.62,105.0,10.77,71
1483,2013,6,12,,190.0,6.16,48
1487,2004,3,12,,190.0,6.79,48
1494,2019,3,12,,355.0,6.46,79
1499,2005,3,12,45.0,5.0,6.7,48
1503,1980,3,12,,5.0,91.41,48
1506,1983,3,12,,355.0,6.35,71
1512,1983,3,12,,355.0,6.44,79
1514,2014,3,12,60.57,355.0,6.34,48
1516,1995,3,12,71.28,355.0,6.44,48
1518,1987,3,12,108.69,95.0,12.17,48
1522,1975,3,12,114.07,175.0,12.51,71
1528,1986,3,12,,175.0,12.48,48
1530,1983,3,12,109.14,170.0,12.47,71
1534,1983,6,12,,170.0,12.44,48
1537,1983,3,12,,170.0,12.41,71
1539,1983,3,12,74.23,170.0,12.53,71
1542,1998,3,12,,160.0,12.34,48
1545,1987,3,12,,195.0,126.04,48
1547,1979,3,12,148.8,350.0,12.24,48
1550,1982,3,12,,350.0,12.46,71
1552,1979,3,12,4.94,350.0,12.46,48
1554,2001,3,12,,355.0,12.44,48
1556,1982,3,12,70.65,355.0,12.56,48
1557,1979,3,12,47.83,355.0,12.56,71
1561,1987,3,12,,20.0,52.53,48
1567,1980,3,12,,175.0,6.51,71
1572,1973,3,12,,175.0,6.44,48
1576,1980,3,12,,175.0,6.39,71
1580,1983,3,12,38.11,275.0,6.51,71
1583,1983,3,12,,355.0,6.51,48
1585,1988,3,12,122.72,355.0,6.43,71
1588,1981,3,12,,355.0,6.4,71
1593,1982,3,12,,175.0,6.4,71
1595,1982,3,12,,175.0,6.35,48
1598,1993,3,12,,175.0,6.35,79
1601,1982,3,12,,175.0,6.4,79
1603,1981,3,12,80.14,175.0,6.44,71
1606,1985,3,12,,355.0,6.37,48
1608,1982,3,12,163.89,355.0,9.52,71
1610,1981,3,12,109.77,355.0,6.42,71
1613,1978,3,12,,355.0,6.38,71
1626,1980,3,12,141.98,180.0,6.53,71
1628,1981,3,12,,175.0,6.45,71
1632,2021,3,12,,175.0,6.34,48
1635,1986,3,12,,175.0,6.31,48
1643,2010,3,12,,275.0,7.04,79
1646,1982,3,12,,5.000000000000001,inf,71
1650,1983,3,12,209.23,5.0,27.14,71
1655,1980,3,12,20.34,5.0,66.37,79
1659,2020,3,12,,95.0,25.78,48
1663,2020,3,12,,175.0,6.5,48
1665,2004,3,12,,175.0,6.48,48
1668,1994,3,12,12.7,275.0,6.94,48
1676,1972,3,12,19.03,275.0,19.1,71
1679,1978,3,12,358.0,195.0,11.03,48
1687,2002,3,12,,225.0,82.66,48
1697,1992,3,12,,0.0,10.42,48
1702,1983,3,12,,350.0,10.29,71
1704,2006,3,12,,345.0,9.97,48
1707,1987,3,12,138.23,330.0,10.35,71
1710,1973,3,12,,20.0,21.28,71
1712,1980,3,12,94.95,80.0,17.11,71
1714,1985,6,12,45.17,155.0,9.14,48
1716,1981,3,12,153.73,155.0,9.17,71
1720,1989,3,12,,170.0,9.24,48
1724,1996,3,12,,170.0,52.65,48
1728,1981,3,12,,175.0,41.55,48
1731,1990,3,12,49.45,175.0,40.27,48
1737,2005,3,12,113.66,185.0,37.41,48
1739,1982,3,12,155.1,195.0,45.62,79
