OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
3164,1985,3,10,104.7,120.0,9.85,73
3169,2019,3,10,143.14,290.0,12.52,73
3174,2009,3,10,84.39,140.0,9.84,73
3185,2004,3,10,32.18,330.0,10.59,73
3187,2004,3,10,79.42,300.0,30.0,73
3191,2008,3,10,174.84,235.0,6.88,73
3192,2003,3,10,130.19,120.0,8.57,73
3195,1987,3,10,49.9,125.0,8.46,73
3198,1987,3,10,121.56,120.0,7.72,67
3200,1992,3,10,102.59,125.0,9.25,73
3204,2020,3,10,63.02,205.0,8.29,73
3208,2002,3,10,73.73,205.0,7.98,73
3210,1960,3,10,,205.0,8.01,67
3214,1975,3,10,44.72,300.0,9.96,67
3217,1987,3,10,,20.0,8.0,67
3219,2000,3,10,127.63,20.0,8.57,73
3225,2005,3,10,,315.0,10.1,73
3228,2002,3,10,49.63,145.0,9.0,73
3231,1985,3,10,41.36,145.0,9.65,67
3235,2002,3,10,114.55,310.0,12.95,73
3238,1970,3,10,108.41,335.0,10.24,67
3241,2008,3,10,147.6,335.0,23.35,73
3244,2012,3,10,124.53,300.0,8.48,73
3250,1975,3,10,100.23,140.0,12.01,67
3252,1975,3,10,,170.0,8.82,67
3254,1993,3,10,118.82,300.0,8.0,73
3258,2009,3,10,93.3,65.0,10.48,73
3261,1975,3,10,,35.0,10.35,67
3263,2000,3,10,121.93,40.0,10.22,73
3266,1985,3,10,87.91,55.0,9.89,67
3267,1994,3,10,128.01,65.0,10.07,73
3272,1987,3,10,117.71,80.0,10.05,73
3275,2003,3,10,92.68,90.0,9.47,73
3277,2004,3,10,99.03,160.0,32.42,73
3279,2009,3,10,74.54,275.0,94.9,73
3282,1965,3,10,8.73,5.0,23.04,67
3284,2002,3,10,77.1,190.0,inf,73
3286,2000,3,10,80.5,315.0,8.05,73
3291,1968,3,10,25.24,185.0,8.18,67
3295,1995,3,10,70.31,200.0,8.41,73
3299,1984,3,10,45.95,165.0,8.15,67
3301,1985,3,10,191.52,290.0,10.08,73
3309,2006,3,10,116.56,70.0,6.76,73
3313,2000,3,10,50.83,190.0,inf,73
3316,2003,3,10,135.81,80.0,10.2,73
3319,2020,3,10,,175.0,inf,73
3322,2018,3,10,,0.0,12.89,73
3326,2014,3,10,95.43,315.0,9.18,73
3338,2005,3,10,168.83,155.0,30.23,73
3341,2002,3,10,184.77,230.0,20.79,73
3344,1987,3,10,80.27,115.0,10.33,73
3354,2010,3,10,100.23,220.0,19.9,73
3357,2009,3,10,113.31,215.0,9.87,73
