label,index
2,18947
2,6670
1,14653
0,22838
2,4775
4,16756
4,8861
1,23457
3,2279
2,21552
4,19528
1,24237
3,5788
4,5419
1,8762
4,3115
4,11136
5,3284
1,16855
2,4876
0,1010
0,13033
4,1381
1,14950
5,6973
4,362
5,18644
1,8622
3,4936
4,16915
3,11076
0,3055
3,6833
4,14810
1,13173
3,1150
1,222
4,18704
1,18495
2,21880
1,24377
3,23985
4,5559
2,23517
0,23686
3,2339
3,21412
2,21783
5,19468
3,18807
4,14713
2,6730
0,14482
0,22978
1,16616
1,4635
0,16587
2,8921
0,4885
4,3277
1,11254
3,22459
0,8400
4,8791
4,18526
3,391
2,6980
3,1372
1,13351
2,21933
5,19949
5,17758
0,23836
4,24155
4,5878
1,10138
0,23735
1,21630
1,6512
4,14531
0,6683
1,8892
1,4417
1,16434
4,4786
2,25239
2,14471
5,6452
0,16574
4,4557
3,25379
3,10078
4,5938
2,23675
3,21770
3,21873
0,19809
5,17589
2,17618
2,24015
1,23976
1,24384
2,11314
1,3337
2,11085
2,22688
3,22519
4,8540
0,18466
5,140
4,13211
2,1232
5,13180
3,21962
5,19918
3,24104
1,23867
1,24295
2,17498
2,17709
0,22799
0,22408
3,3226
5,11205
2,11194
1,8451
0,18577
1,1323
5,13300
2,13091
3,6543
4,14560
2,25268
2,4446
1,16465
2,23764
3,10169
3,5829
4,21661
3,23624
2,5969
3,10029
0,21721
5,14420
2,6403
3,6792
3,8983
2,25328
2,16525
2,4506
0,4697
3,22548
4,4994
2,11345
3,3366
0,8511
2,8680
1,280
3,111
1,18437
0,6891
0,13240
2,1263
0,21822
4,19858
2,23927
1,24044
4,17649
2,4687
3,4516
3,16535
3,25338
3,8993
0,6782
2,6413
3,14430
2,21731
5,10039
3,5979
2,23634
3,17659
2,24054
2,23937
0,19848
3,21832
1,1273
5,13250
4,6881
4,18427
5,101
2,290
4,8690
4,8501
2,3376
1,11355
2,4984
3,22558
5,13081
5,13310
1,1333
4,18567
0,8441
0,11184
2,11215
0,3236
4,22418
4,22789
4,17719
2,17488
3,24285
2,23877
3,24114
0,19908
2,21972
1,21671
3,5839
3,10179
2,23774
3,16475
3,4456
4,25278
4,14570
3,6553
0,21760
2,23665
4,5928
3,10068
2,25369
3,4547
4,16564
5,6442
2,14461
0,13190
1,1222
0,13201
1,150
1,18476
5,8550
3,22509
3,22698
2,11095
0,3327
4,11304
5,24394
2,23966
3,24005
4,17608
2,17599
4,19819
2,21863
3,24145
2,23826
2,17748
1,19959
2,21923
3,13341
2,1362
1,6990
2,381
5,18536
2,8781
4,8410
0,22449
4,11244
2,3267
0,4895
1,25229
1,4796
1,16424
2,4407
4,8882
5,6693
5,14521
2,6502
